word,count,per_million
takes,3421,145.2
report,3415,144.9
connected,3414,144.9
frame-level,3412,144.8
encoding,3405,144.5
phrase,3398,144.2
cosine,3396,144.1
subject,3395,144.1
early,3388,143.8
conclusion,3375,143.2
manual,3375,143.2
dialog,3374,143.2
comparable,3372,143.1
query,3371,143.0
trials,3369,143.0
hearing,3368,142.9
dropout,3368,142.9
whereas,3362,142.7
relu,3362,142.7
split,3362,142.7
gives,3360,142.6
singing,3351,142.2
slot,3349,142.1
slightly,3342,141.8
author,3337,141.6
recall,3321,140.9
parts,3319,140.8
annotated,3312,140.5
likely,3312,140.5
ground,3312,140.5
dictionary,3298,139.9
adaptive,3297,139.9
mixed,3296,139.9
shift,3291,139.7
svm,3290,139.6
events,3288,139.5
regularization,3284,139.4
truth,3283,139.3
acknowledgements,3283,139.3
generally,3277,139.1
devices,3276,139.0
overlap,3274,138.9
event,3268,138.7
onset,3268,138.7
attacks,3267,138.6
erent,3265,138.5
area,3250,137.9
transformation,3246,137.7
head,3240,137.5
users,3238,137.4
ones,3236,137.3
sec,3236,137.3
equation,3236,137.3
intensity,3230,137.1
entropy,3230,137.1
account,3227,136.9
performing,3225,136.9
increased,3220,136.6
spontaneous,3219,136.6
japan,3214,136.4
denote,3213,136.3
self-attention,3212,136.3
far,3190,135.4
articulation,3186,135.2
scoring,3186,135.2
additionally,3173,134.6
deviation,3172,134.6
built,3171,134.6
except,3167,134.4
pattern,3162,134.2
stft,3158,134.0
increases,3151,133.7
emotions,3143,133.4
call,3140,133.2
presence,3137,133.1
detect,3135,133.0
contour,3130,132.8
degree,3120,132.4
bias,3105,131.8
adopted,3104,131.7
open,3098,131.5
precision,3094,131.3
clusters,3092,131.2
list,3085,130.9
separately,3080,130.7
real-time,3077,130.6
basis,3077,130.6
etc,3072,130.4
taken,3065,130.1
tones,3065,130.1
auxiliary,3060,129.8
extractor,3060,129.8
previously,3057,129.7
bidirectional,3056,129.7
manually,3054,129.6
though,3054,129.6
mfccs,3052,129.5
phones,3050,129.4
reconstruction,3049,129.4
forward,3047,129.3
transcribed,3047,129.3
created,3042,129.1
leads,3038,128.9
highest,3038,128.9
matrices,3035,128.8
seq,3035,128.8
patients,3033,128.7
questions,3031,128.6
widely,3029,128.5
third,3027,128.4
com,3026,128.4
cannot,3026,128.4
consonants,3023,128.3
identify,3022,128.2
hypotheses,3018,128.1
google,3015,127.9
explored,3015,127.9
delay,3011,127.8
vad,3003,127.4
people,3002,127.4
similarly,2998,127.2
pesq,2995,127.1
behavior,2989,126.8
learners,2985,126.7
certain,2982,126.5
toolkit,2981,126.5
contexts,2980,126.5
demonstrated,2976,126.3
baselines,2975,126.2
true,2973,126.2
generative,2972,126.1
instance,2969,126.0
six,2966,125.9
ratings,2960,125.6
lda,2956,125.4
variables,2955,125.4
problems,2953,125.3
description,2953,125.3
adapted,2948,125.1
advantage,2948,125.1
optimized,2946,125.0
importance,2941,124.8
targets,2940,124.8
just,2939,124.7
files,2935,124.5
issue,2934,124.5
clear,2934,124.5
silence,2932,124.4
sampled,2931,124.4
